======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = False
CUTOUT_SIZE = 8
USE_SILU = False
WARMUP_FRACTION = 0.15
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.3750  |     0.7441  |   0.7144  |               |              8.1183  |
|          |      1  |      1.2285  |     0.8252  |   0.6912  |               |              8.5344  |
|          |      2  |      1.1660  |     0.8691  |   0.7353  |               |              8.9148  |
|          |      3  |      1.1562  |     0.8652  |   0.8311  |               |              9.2651  |
|          |      4  |      1.1338  |     0.8682  |   0.8106  |               |              9.6134  |
|          |      5  |      1.0781  |     0.9062  |   0.8637  |               |              9.9636  |
|          |      6  |      1.0469  |     0.9189  |   0.8653  |               |             10.3136  |
|          |      7  |      1.0020  |     0.9473  |   0.8991  |               |             10.6633  |
|          |      8  |      0.9673  |     0.9648  |   0.9161  |               |             11.0137  |
|          |      9  |      0.9399  |     0.9775  |   0.9322  |               |             11.3357  |
|          |   eval  |      0.9399  |     0.9775  |   0.9322  |       0.9412  |             11.4892  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.3809  |     0.7354  |   0.6279  |               |              0.3884  |
|          |      1  |      1.2471  |     0.8203  |   0.7136  |               |              0.7684  |
|          |      2  |      1.1865  |     0.8350  |   0.7980  |               |              1.1482  |
|          |      3  |      1.1660  |     0.8496  |   0.8409  |               |              1.5002  |
|          |      4  |      1.1152  |     0.8887  |   0.8538  |               |              1.8499  |
|          |      5  |      1.0752  |     0.9014  |   0.8618  |               |              2.2013  |
|          |      6  |      1.0371  |     0.9238  |   0.8954  |               |              2.5510  |
|          |      7  |      1.0078  |     0.9424  |   0.9011  |               |              2.9014  |
|          |      8  |      0.9673  |     0.9570  |   0.9243  |               |              3.2520  |
|          |      9  |      0.9346  |     0.9814  |   0.9347  |               |              3.5744  |
|          |   eval  |      0.9346  |     0.9814  |   0.9347  |       0.9409  |              3.7279  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4160  |     0.7207  |   0.7110  |               |              0.3882  |
|          |      1  |      1.2598  |     0.8066  |   0.7200  |               |              0.7694  |
|          |      2  |      1.2051  |     0.8232  |   0.7790  |               |              1.1496  |
|          |      3  |      1.1523  |     0.8662  |   0.8334  |               |              1.5014  |
|          |      4  |      1.1104  |     0.8887  |   0.8599  |               |              1.8516  |
|          |      5  |      1.0752  |     0.9043  |   0.8539  |               |              2.2021  |
|          |      6  |      1.0547  |     0.9111  |   0.8993  |               |              2.5522  |
|          |      7  |      1.0156  |     0.9463  |   0.9074  |               |              2.9030  |
|          |      8  |      0.9673  |     0.9590  |   0.9256  |               |              3.2543  |
|          |      9  |      0.9429  |     0.9766  |   0.9347  |               |              3.5759  |
|          |   eval  |      0.9429  |     0.9766  |   0.9347  |       0.9403  |              3.7295  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4600  |     0.7002  |   0.6854  |               |              0.3896  |
|          |      1  |      1.2490  |     0.8047  |   0.7422  |               |              0.7710  |
|          |      2  |      1.2061  |     0.8369  |   0.7089  |               |              1.1520  |
|          |      3  |      1.1514  |     0.8564  |   0.8216  |               |              1.5028  |
|          |      4  |      1.1152  |     0.8896  |   0.8756  |               |              1.8535  |
|          |      5  |      1.0664  |     0.8994  |   0.8632  |               |              2.2050  |
|          |      6  |      1.0225  |     0.9307  |   0.8878  |               |              2.5545  |
|          |      7  |      1.0059  |     0.9443  |   0.9064  |               |              2.9056  |
|          |      8  |      0.9644  |     0.9648  |   0.9253  |               |              3.2563  |
|          |      9  |      0.9233  |     0.9893  |   0.9316  |               |              3.5789  |
|          |   eval  |      0.9233  |     0.9893  |   0.9316  |       0.9401  |              3.7321  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4033  |     0.7344  |   0.5786  |               |              0.3897  |
|          |      1  |      1.2656  |     0.8008  |   0.6969  |               |              0.7722  |
|          |      2  |      1.2061  |     0.8369  |   0.6492  |               |              1.1521  |
|          |      3  |      1.1836  |     0.8428  |   0.7776  |               |              1.5048  |
|          |      4  |      1.1162  |     0.8809  |   0.8627  |               |              1.8552  |
|          |      5  |      1.0830  |     0.8926  |   0.8537  |               |              2.2053  |
|          |      6  |      1.0547  |     0.9180  |   0.8726  |               |              2.5558  |
|          |      7  |      1.0078  |     0.9453  |   0.9045  |               |              2.9070  |
|          |      8  |      0.9585  |     0.9707  |   0.9252  |               |              3.2576  |
|          |      9  |      0.9424  |     0.9785  |   0.9327  |               |              3.5794  |
|          |   eval  |      0.9424  |     0.9785  |   0.9327  |       0.9411  |              3.7332  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4150  |     0.6943  |   0.6400  |               |              0.4762  |
|          |      1  |      1.2529  |     0.8213  |   0.6420  |               |              0.8588  |
|          |      2  |      1.2002  |     0.8320  |   0.8178  |               |              1.2405  |
|          |      3  |      1.1504  |     0.8740  |   0.7933  |               |              1.5908  |
|          |      4  |      1.1191  |     0.8809  |   0.8598  |               |              1.9418  |
|          |      5  |      1.0781  |     0.9023  |   0.8700  |               |              2.2926  |
|          |      6  |      1.0234  |     0.9336  |   0.8954  |               |              2.6437  |
|          |      7  |      1.0156  |     0.9355  |   0.9068  |               |              2.9943  |
|          |      8  |      0.9653  |     0.9658  |   0.9212  |               |              3.3452  |
|          |      9  |      0.9370  |     0.9834  |   0.9326  |               |              3.6683  |
|          |   eval  |      0.9370  |     0.9834  |   0.9326  |       0.9403  |              3.8213  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4639  |     0.6787  |   0.6852  |               |              0.3882  |
|          |      1  |      1.2266  |     0.8359  |   0.8051  |               |              0.7682  |
|          |      2  |      1.1504  |     0.8604  |   0.8037  |               |              1.1500  |
|          |      3  |      1.1240  |     0.8789  |   0.8003  |               |              1.5027  |
|          |      4  |      1.1084  |     0.8779  |   0.8412  |               |              1.8525  |
|          |      5  |      1.0762  |     0.8984  |   0.8721  |               |              2.2045  |
|          |      6  |      1.0527  |     0.9170  |   0.8977  |               |              2.5547  |
|          |      7  |      1.0107  |     0.9346  |   0.9082  |               |              2.9051  |
|          |      8  |      0.9502  |     0.9717  |   0.9248  |               |              3.2548  |
|          |      9  |      0.9473  |     0.9736  |   0.9358  |               |              3.5772  |
|          |   eval  |      0.9473  |     0.9736  |   0.9358  |       0.9413  |              3.7311  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.3994  |     0.7285  |   0.6983  |               |              0.3888  |
|          |      1  |      1.2139  |     0.8389  |   0.7564  |               |              0.7705  |
|          |      2  |      1.2217  |     0.8115  |   0.7761  |               |              1.1511  |
|          |      3  |      1.1621  |     0.8604  |   0.8301  |               |              1.5036  |
|          |      4  |      1.1270  |     0.8867  |   0.8624  |               |              1.8544  |
|          |      5  |      1.0791  |     0.9092  |   0.8691  |               |              2.2058  |
|          |      6  |      1.0352  |     0.9287  |   0.8995  |               |              2.5559  |
